experiment_id,gen_id,gen_fit_max,gen_gain_max,overall_fit_max,overall_gain_max,fit_mean,fit_var,fit_std,gain_mean,gain_var,gain_std
1,31,45.973858,-170.000000,45.973858,-170.000000,9.581137,162.575022,12.750491,-349.860000,5445.837200,73.795916
1,32,51.373513,-125.600000,51.373513,-125.600000,23.967163,270.704603,16.453103,-268.316000,8023.036144,89.571402
1,33,51.373513,-125.600000,51.373513,-125.600000,25.976077,237.567183,15.413215,-256.474000,6920.628524,83.190315
1,34,56.689872,-63.200000,56.689872,-63.200000,30.809023,262.302242,16.195748,-227.194000,8410.633964,91.709509
1,35,56.689872,-63.200000,56.689872,-63.200000,34.267172,103.928880,10.194551,-211.456000,3123.824064,55.891181
1,36,48.998903,-138.600000,56.689872,-63.200000,28.950817,252.123864,15.878409,-239.648000,8527.496896,92.344447
1,37,55.732985,-108.600000,56.689872,-63.200000,31.626566,231.278313,15.207837,-222.742000,6663.475436,81.630114
1,38,51.248348,-128.600000,56.689872,-63.200000,32.349932,162.531962,12.748802,-220.316000,5135.356144,71.661399
1,39,48.998903,-138.600000,56.689872,-63.200000,29.126106,189.196276,13.754864,-233.144000,5092.308064,71.360410
1,40,51.248808,-127.400000,56.689872,-63.200000,32.535219,156.417399,12.506694,-214.996000,4085.940784,63.921364
1,41,49.059149,-138.600000,56.689872,-63.200000,34.885959,104.795331,10.236959,-204.208000,2742.824736,52.371984
1,42,53.365642,-118.600000,56.689872,-63.200000,38.674444,69.985091,8.365709,-184.924000,1746.121424,41.786618
1,43,48.317800,-160.000000,56.689872,-63.200000,37.953601,72.020809,8.486507,-191.410000,2355.789100,48.536472
1,44,51.133398,-127.400000,56.689872,-63.200000,37.568216,123.278469,11.103084,-194.438000,3664.610156,60.536024
1,45,55.821417,-102.600000,56.689872,-63.200000,35.462341,105.899172,10.290732,-204.196000,3052.681584,55.251078
1,46,50.453219,-150.000000,56.689872,-63.200000,35.848979,103.109149,10.154268,-203.158000,3340.877036,57.800320
1,47,52.773799,-140.000000,56.689872,-63.200000,38.958416,42.875157,6.547912,-183.020000,1306.348400,36.143442
1,48,52.773799,-140.000000,56.689872,-63.200000,38.443571,25.901643,5.089366,-188.982000,878.659276,29.642187
1,49,51.216789,-127.400000,56.689872,-63.200000,36.965810,86.069637,9.277372,-197.730000,2353.954700,48.517571
1,50,51.216789,-127.400000,56.689872,-63.200000,37.370192,76.213327,8.730024,-199.008000,2380.222336,48.787522
1,51,57.830056,-97.400000,57.830056,-97.400000,42.280322,25.304799,5.030388,-169.630000,613.545100,24.769843
1,52,60.100660,-87.400000,60.100660,-87.400000,40.116939,192.034098,13.857637,-185.656000,4753.256864,68.943867
1,53,57.830056,-97.400000,60.100660,-87.400000,39.586685,127.266466,11.281244,-188.966000,3579.126444,59.825801
1,54,57.830056,-97.400000,60.100660,-87.400000,39.767567,126.488040,11.246690,-184.242000,3763.808236,61.349884
1,55,62.373379,-77.400000,62.373379,-77.400000,41.111686,123.187988,11.099008,-176.094000,3008.281164,54.847800
1,56,62.375822,-77.400000,62.375822,-77.400000,43.753543,102.162988,10.107571,-164.628000,2519.016816,50.189808
1,57,62.375822,-77.400000,62.375822,-77.400000,43.172767,235.170570,15.335272,-171.840000,6289.505600,79.306403
1,58,62.362776,-77.400000,62.375822,-77.400000,39.428079,243.715459,15.611389,-186.346000,6089.368684,78.034407
1,59,60.063953,-87.400000,62.375822,-77.400000,35.722837,207.893439,14.418510,-207.246000,5266.199084,72.568582
1,60,62.314638,-77.400000,62.375822,-77.400000,41.571844,107.038644,10.345948,-175.236000,3056.561104,55.286175
2,31,35.392846,-198.600000,35.392846,-198.600000,5.392268,72.044752,8.487918,-375.958000,2582.841036,50.821659
2,32,39.343257,-200.000000,39.343257,-200.000000,13.414541,163.813570,12.798968,-325.890000,5367.953100,73.266316
2,33,41.291477,-190.000000,41.291477,-190.000000,23.647462,172.740566,13.143081,-269.950000,5603.592300,74.857146
2,34,51.112133,-127.400000,51.112133,-127.400000,30.545689,180.036191,13.417757,-231.394000,4607.585964,67.879201
2,35,51.112133,-127.400000,51.112133,-127.400000,25.834235,285.985085,16.911094,-258.190000,8785.822700,93.732719
2,36,48.890214,-138.600000,51.112133,-127.400000,26.795512,234.340342,15.308179,-250.064000,7278.447104,85.313815
2,37,45.278351,-129.800000,51.112133,-127.400000,33.845440,93.390154,9.663858,-212.624000,2613.653824,51.123907
2,38,48.327270,-160.000000,51.112133,-127.400000,28.692722,206.907290,14.384272,-241.324000,5727.071824,75.677420
2,39,51.177123,-128.000000,51.177123,-128.000000,32.145641,126.066546,11.227936,-225.902000,3747.107596,61.213623
2,40,46.651684,-148.600000,51.177123,-128.000000,36.209132,69.766165,8.352614,-201.692000,2084.258736,45.653683
2,41,48.976107,-138.600000,51.177123,-128.000000,34.188164,136.860262,11.698729,-209.874000,3564.437324,59.702909
2,42,48.976107,-138.600000,51.177123,-128.000000,33.788410,76.782279,8.762550,-212.320000,2223.366400,47.152586
2,43,48.976107,-138.600000,51.177123,-128.000000,34.655858,117.968222,10.861318,-205.858000,3268.246636,57.168581
2,44,46.796871,-147.400000,51.177123,-128.000000,26.723989,274.918554,16.580668,-250.746000,8120.831084,90.115654
2,45,49.316108,-124.200000,51.177123,-128.000000,36.670317,70.122450,8.373915,-196.972000,2145.265616,46.317012
2,46,53.351334,-117.400000,53.351334,-117.400000,32.976788,144.532744,12.022177,-216.904000,3918.829984,62.600559
2,47,53.351334,-117.400000,53.351334,-117.400000,34.007336,107.091685,10.348511,-212.148000,3197.870896,56.549721
2,48,49.316108,-124.200000,53.351334,-117.400000,36.452331,93.480514,9.668532,-198.806000,2388.969164,48.877082
