experiment_id,gen_id,gen_fit_max,gen_gain_max,overall_fit_max,overall_gain_max,fit_mean,fit_var,fit_std,gain_mean,gain_var,gain_std
1,30,66.257768,-40.000000,72.629855,12.000000,53.970134,152.404617,12.345226,-66.960000,803.718400,28.349928
2,1,56.984164,-60.000000,56.984164,-60.000000,4.564016,103.379015,10.167547,-190.400000,715.840000,26.755186
2,2,56.967866,-60.000000,56.984164,-60.000000,20.948157,501.956226,22.404380,-148.400000,3207.440000,56.634265
2,3,56.967866,-60.000000,56.984164,-60.000000,15.521760,475.027947,21.795136,-158.700000,2801.310000,52.927403
2,4,61.750830,-50.000000,61.750830,-50.000000,47.408276,365.613955,19.121034,-82.900000,2132.590000,46.179974
2,5,61.750830,-50.000000,61.750830,-50.000000,47.874268,332.019577,18.221404,-81.600000,1929.440000,43.925391
2,6,66.239157,-40.000000,66.239157,-40.000000,46.131028,472.015845,21.725926,-86.900000,2911.390000,53.957298
2,7,61.760264,-50.000000,66.239157,-40.000000,40.993587,616.998148,24.839447,-99.600000,3795.840000,61.610389
2,8,61.467866,-50.000000,66.239157,-40.000000,48.646166,304.912647,17.461748,-79.220000,1775.911600,42.141566
2,9,61.467866,-50.000000,66.239157,-40.000000,38.194510,551.085290,23.475206,-104.780000,3313.191600,57.560330
2,10,66.224938,-40.000000,66.239157,-40.000000,45.326970,386.658359,19.663630,-86.420000,2213.303600,47.045761
2,11,66.224938,-40.000000,66.239157,-40.000000,36.172653,589.628836,24.282274,-109.860000,3497.140400,59.136625
2,12,71.073996,-24.000000,71.073996,-24.000000,47.538145,439.027631,20.952986,-83.380000,2684.295600,51.810188
2,13,71.073996,-24.000000,71.073996,-24.000000,46.673228,378.301243,19.449968,-83.040000,1972.118400,44.408540
2,14,61.752803,-50.000000,71.073996,-24.000000,40.960657,583.654450,24.158941,-98.400000,3367.440000,58.029648
2,15,71.693215,-8.000000,71.693215,-8.000000,47.589501,344.387748,18.557687,-80.940000,1863.636400,43.169855
2,16,71.693215,-8.000000,71.693215,-8.000000,41.184780,583.502645,24.155799,-97.740000,3533.812400,59.445878
2,17,71.759240,-6.000000,71.759240,-6.000000,45.945026,515.252949,22.699184,-86.540000,3207.268400,56.632750
2,18,71.759240,-6.000000,71.759240,-6.000000,36.730123,609.119183,24.680340,-107.900000,3875.310000,62.251988
2,19,71.759240,-6.000000,71.759240,-6.000000,48.644829,271.832758,16.487351,-78.540000,1491.828400,38.624194
2,20,66.034831,-40.000000,71.759240,-6.000000,45.725602,439.135387,20.955557,-85.500000,2248.750000,47.420987
2,21,71.099372,-24.000000,71.759240,-6.000000,47.803726,433.002547,20.808713,-81.020000,2262.039600,47.560904
2,22,74.988796,-20.000000,74.988796,-20.000000,49.877998,341.029852,18.466994,-76.900000,1883.390000,43.398041
2,23,71.120315,-22.000000,74.988796,-20.000000,49.307679,374.831100,19.360555,-75.920000,2271.993600,47.665434
2,24,70.999372,-26.000000,74.988796,-20.000000,39.691218,595.005697,24.392739,-101.220000,3417.031600,58.455381
2,25,70.999372,-26.000000,74.988796,-20.000000,50.836148,183.217587,13.535789,-74.060000,990.676400,31.475012
2,26,72.714792,8.000000,74.988796,-20.000000,35.108076,663.521053,25.758902,-111.140000,3876.180400,62.258978
2,27,71.762530,-6.000000,74.988796,-20.000000,41.871984,486.881339,22.065388,-93.840000,2797.494400,52.891345
2,28,70.478697,-30.000000,74.988796,-20.000000,52.964340,233.219673,15.271531,-68.700000,1191.310000,34.515359
2,29,70.499784,-30.000000,74.988796,-20.000000,40.416232,538.917102,23.214588,-97.100000,2864.590000,53.521865
2,30,70.499784,-30.000000,74.988796,-20.000000,41.104533,627.819681,25.056330,-96.920000,3466.753600,58.879144
3,1,57.187650,-60.000000,57.187650,-60.000000,5.379127,103.846868,10.190528,-188.200000,752.760000,27.436472
3,2,56.984164,-60.000000,57.187650,-60.000000,14.057036,298.374391,17.273517,-161.700000,1844.110000,42.943102
3,3,75.240546,-20.000000,75.240546,-20.000000,19.730600,452.300927,21.267368,-146.200000,2473.560000,49.734897
3,4,75.240546,-20.000000,75.240546,-20.000000,33.193538,583.366765,24.152987,-115.140000,3367.700400,58.031891
3,5,75.245571,-20.000000,75.245571,-20.000000,35.374018,539.207589,23.220844,-110.580000,3069.303600,55.401296
3,6,71.085977,-18.000000,75.245571,-20.000000,37.440999,542.122922,23.283533,-106.080000,3127.273600,55.922031
3,7,71.427754,-16.000000,75.245571,-20.000000,48.039414,431.525124,20.773183,-80.620000,2338.535600,48.358408
3,8,70.532786,-30.000000,75.245571,-20.000000,44.127943,389.202996,19.728228,-90.000000,2180.000000,46.690470
3,9,66.187650,-40.000000,75.245571,-20.000000,44.744282,460.722308,21.464443,-88.200000,2454.760000,49.545535
3,10,72.280174,8.000000,75.245571,-20.000000,39.620643,490.791331,22.153811,-100.260000,2870.132400,53.573617
3,11,72.280174,8.000000,75.245571,-20.000000,38.739097,498.518573,22.327529,-102.360000,2946.030400,54.277347
3,12,70.471835,-30.000000,75.245571,-20.000000,39.143955,462.546101,21.506885,-101.140000,2596.660400,50.957437
3,13,66.018070,-40.000000,75.245571,-20.000000,42.827615,489.524877,22.125209,-93.400000,2780.440000,52.729878
3,14,66.018070,-40.000000,75.245571,-20.000000,46.716883,272.806752,16.516863,-83.500000,1476.750000,38.428505
3,15,70.684695,-30.000000,75.245571,-20.000000,50.669791,264.193160,16.254020,-74.200000,1598.360000,39.979495
3,16,67.500725,-10.000000,75.245571,-20.000000,48.619182,362.857550,19.048820,-79.400000,2057.640000,45.361217
3,17,70.936774,-16.000000,75.245571,-20.000000,46.214131,412.958444,20.321379,-84.720000,2271.641600,47.661741
3,18,66.018446,-40.000000,75.245571,-20.000000,51.335670,176.915617,13.300963,-72.700000,884.910000,29.747437
3,19,66.191619,-40.000000,75.245571,-20.000000,44.175454,390.825397,19.769304,-89.200000,2049.360000,45.269858
3,20,72.714792,8.000000,75.245571,-20.000000,42.277561,436.663133,20.896486,-94.040000,2619.758400,51.183575
3,21,72.714792,8.000000,75.245571,-20.000000,47.712644,317.310977,17.813225,-79.860000,1727.300400,41.560804
3,22,72.714792,8.000000,75.245571,-20.000000,40.779579,531.062429,23.044792,-98.800000,3249.440000,57.003860
3,23,71.449847,-16.000000,75.245571,-20.000000,46.051936,447.257663,21.148467,-85.720000,2543.201600,50.430166
3,24,66.039081,-40.000000,75.245571,-20.000000,32.661458,611.678940,24.732144,-118.760000,3705.502400,60.872838
3,25,71.369890,-18.000000,75.245571,-20.000000,41.543428,632.342997,25.146431,-97.140000,3721.540400,61.004429
3,26,72.714792,8.000000,75.245571,-20.000000,51.470274,305.595377,17.481286,-71.420000,1988.343600,44.590847
3,27,71.369890,-18.000000,75.245571,-20.000000,42.787557,521.265544,22.831241,-93.700000,3211.150000,56.667010
3,28,71.369890,-18.000000,75.245571,-20.000000,44.996054,425.280050,20.622319,-88.180000,2651.367600,51.491432
3,29,71.492906,-16.000000,75.245571,-20.000000,46.653191,384.458496,19.607613,-83.260000,2169.252400,46.575234
3,30,66.186663,-40.000000,75.245571,-20.000000,46.527676,278.977330,16.702614,-83.440000,1541.126400,39.257183
4,1,61.450433,-50.000000,61.450433,-50.000000,5.843091,121.653096,11.029646,-186.200000,867.560000,29.454371
4,2,56.967866,-60.000000,61.450433,-50.000000,16.008450,236.292181,15.371798,-153.900000,1329.790000,36.466286
4,3,57.252803,-60.000000,61.450433,-50.000000,28.676179,422.337272,20.550846,-125.600000,2398.640000,48.975912
4,4,57.252803,-60.000000,61.450433,-50.000000,30.644142,474.129589,21.774517,-120.400000,2575.840000,50.752734
4,5,61.747911,-50.000000,61.747911,-50.000000,43.682945,425.185155,20.620018,-86.100000,2887.790000,53.738161
4,6,61.747911,-50.000000,61.747911,-50.000000,45.526613,331.805002,18.215515,-84.200000,1860.360000,43.131891
4,7,66.041846,-40.000000,66.041846,-40.000000,55.490976,105.704434,10.281266,-62.600000,599.240000,24.479379
4,8,66.000445,-40.000000,66.041846,-40.000000,53.373074,184.485340,13.582538,-66.000000,1186.000000,34.438351
4,9,72.482050,8.000000,72.482050,8.000000,55.710005,65.423581,8.088484,-58.960000,695.638400,26.374958
4,10,72.482050,8.000000,72.482050,8.000000,49.652396,275.196207,16.589039,-75.520000,1551.369600,39.387429
4,11,72.482050,8.000000,72.482050,8.000000,50.216201,355.436314,18.853019,-74.920000,2331.633600,48.286992
4,12,66.233420,-40.000000,72.482050,8.000000,50.054536,338.652182,18.402505,-75.500000,1680.750000,40.996951
4,13,65.972832,-40.000000,72.482050,8.000000,47.565537,312.331321,17.672898,-79.300000,1748.510000,41.815189
4,14,66.234372,-40.000000,72.482050,8.000000,45.149729,460.859277,21.467633,-86.900000,2401.390000,49.003979
4,15,70.239055,-30.000000,72.482050,8.000000,47.840009,348.220123,18.660657,-80.180000,1748.807600,41.818747
4,16,71.877847,-2.000000,72.482050,8.000000,45.788348,477.832103,21.859371,-84.940000,2615.956400,51.146421
4,17,71.877847,-2.000000,72.482050,8.000000,56.145817,91.594617,9.570508,-59.740000,509.012400,22.561303
4,18,70.485526,-30.000000,72.482050,8.000000,51.362770,310.680527,17.626132,-72.260000,1560.052400,39.497499
4,19,70.485526,-30.000000,72.482050,8.000000,47.937095,543.836102,23.320294,-82.500000,3166.750000,56.273884
4,20,71.920315,-6.000000,72.482050,8.000000,52.753659,290.548510,17.045484,-69.720000,1607.841600,40.097900
4,21,71.969630,-8.000000,72.482050,8.000000,52.644406,203.064037,14.250054,-69.860000,1092.740400,33.056624
4,22,71.482356,-16.000000,72.482050,8.000000,55.125783,92.749970,9.630679,-64.220000,489.911600,22.133947
4,23,71.482356,-16.000000,72.482050,8.000000,50.799306,311.400080,17.646532,-73.960000,1566.478400,39.578762
4,24,70.971939,-26.000000,72.482050,8.000000,47.874698,424.540315,20.604376,-81.060000,2252.036400,47.455626
4,25,65.968856,-40.000000,72.482050,8.000000,53.941375,107.845046,10.384847,-67.100000,536.590000,23.164412
