experiment_id,gen_id,gen_fit_max,gen_gain_max,overall_fit_max,overall_gain_max,fit_mean,fit_var,fit_std,gain_mean,gain_var,gain_std
1,1,48.946647,-198.600000,48.946647,-198.600000,13.491849,219.584431,14.818382,-614.064000,30867.437504,175.691313
1,2,50.352586,-145.400000,50.352586,-145.400000,20.683868,268.444003,16.384261,-532.642000,36797.012236,191.825473
1,3,55.611417,-137.400000,55.611417,-137.400000,26.458471,245.557721,15.670281,-456.378000,35590.936716,188.655603
1,4,55.928980,-125.200000,55.928980,-125.200000,30.217638,236.489695,15.378221,-421.752000,35036.300896,187.179862
1,5,55.882939,-128.800000,55.928980,-125.200000,29.249336,297.979317,17.262077,-436.736000,43950.442304,209.643608
1,6,53.446986,-161.000000,55.928980,-125.200000,31.215422,239.715925,15.482762,-405.346000,34260.899884,185.097001
1,7,50.461312,-147.200000,55.928980,-125.200000,29.268696,307.868945,17.546195,-430.974000,44011.738924,209.789749
1,8,51.216935,-182.800000,55.928980,-125.200000,31.891051,287.392549,16.952656,-403.850000,40103.815500,200.259371
1,9,58.825894,-103.600000,58.825894,-103.600000,31.399050,300.775915,17.342892,-408.504000,42125.571584,205.245150
1,10,58.758394,-109.000000,58.825894,-103.600000,32.682015,296.070452,17.206698,-398.544000,44782.770464,211.619400
1,11,53.219564,-158.000000,58.825894,-103.600000,35.885153,222.294427,14.909541,-355.638000,30491.256556,174.617458
1,12,53.249564,-155.600000,58.825894,-103.600000,32.983160,324.147935,18.004109,-394.522000,46279.604716,215.126950
1,13,53.234564,-156.800000,58.825894,-103.600000,36.243661,278.745445,16.695671,-360.804000,40783.106384,201.948277
1,14,53.264564,-154.400000,58.825894,-103.600000,31.147371,377.192065,19.421433,-414.376000,50753.005024,225.284276
1,15,54.762720,-125.400000,58.825894,-103.600000,34.013651,366.672709,19.148700,-388.558000,51567.569836,227.084940
1,16,54.762720,-125.400000,58.825894,-103.600000,38.205944,237.448996,15.409380,-321.156000,33489.510064,183.001394
1,17,55.579816,-155.600000,58.825894,-103.600000,34.748250,305.109876,17.467395,-367.050000,39970.458700,199.926133
