experiment_id,gen_id,gen_fit_max,gen_gain_max,overall_fit_max,overall_gain_max,fit_mean,fit_var,fit_std,gain_mean,gain_var,gain_std
1,1,46.920765,-145.000000,46.920765,-145.000000,12.958038,223.423828,14.947369,-330.332000,7373.091376,85.866707
1,2,49.127425,-128.600000,49.127425,-128.600000,23.973096,291.986956,17.087626,-267.944000,9159.676864,95.706201
1,3,50.352274,-86.600000,50.352274,-86.600000,30.103963,193.427551,13.907823,-232.982000,6469.476876,80.433058
1,4,50.352274,-86.600000,50.352274,-86.600000,28.006882,282.327434,16.802602,-244.702000,9269.565196,96.278581
1,5,50.352274,-86.600000,50.352274,-86.600000,28.674907,263.093947,16.220171,-241.854000,8337.435084,91.309556
1,6,51.906145,-100.000000,51.906145,-100.000000,28.154994,279.958006,16.731946,-243.208000,8876.203936,94.213608
1,7,57.802761,-92.000000,57.802761,-92.000000,29.000872,290.630119,17.047877,-239.492000,8962.052336,94.668117
1,8,57.802761,-92.000000,57.802761,-92.000000,29.786044,256.069785,16.002181,-237.340000,8246.465200,90.810050
1,9,51.191831,-128.600000,57.802761,-92.000000,29.287304,265.653956,16.298894,-238.152000,8039.925696,89.665633
1,10,51.191831,-128.600000,57.802761,-92.000000,30.020121,271.796637,16.486256,-235.746000,8470.308684,92.034280
1,11,51.191831,-128.600000,57.802761,-92.000000,32.375423,256.720778,16.022508,-222.958000,7740.542636,87.980354
1,12,51.297109,-128.600000,57.802761,-92.000000,31.421016,266.170316,16.314727,-227.224000,8479.225024,92.082708
1,13,51.191831,-128.600000,57.802761,-92.000000,30.247602,343.331377,18.529203,-233.666000,9734.565644,98.663902
1,14,51.191831,-128.600000,57.802761,-92.000000,33.487016,263.707686,16.239079,-218.628000,8250.941616,90.834694
1,15,51.191831,-128.600000,57.802761,-92.000000,33.386640,268.663669,16.390963,-219.926000,8186.282924,90.478080
1,16,52.947203,-140.000000,57.802761,-92.000000,31.865452,297.762642,17.255800,-226.690000,8407.737900,91.693718
1,17,52.947203,-140.000000,57.802761,-92.000000,32.150532,279.297625,16.712200,-224.656000,7988.831264,89.380262
1,18,57.925243,-98.600000,57.925243,-98.600000,35.950471,281.181560,16.768469,-205.848000,8040.781696,89.670406
1,19,59.495509,-110.000000,59.495509,-110.000000,33.882225,390.531537,19.761871,-220.320000,11584.724000,107.632356
1,20,59.495509,-110.000000,59.495509,-110.000000,35.891623,374.218728,19.344734,-208.534000,10669.158444,103.291618
1,21,59.495509,-110.000000,59.495509,-110.000000,39.993204,309.891106,17.603724,-187.804000,8999.004784,94.863084
1,22,60.242126,-87.400000,60.242126,-87.400000,38.801900,400.218782,20.005469,-195.466000,11403.894444,106.789018
1,23,60.242126,-87.400000,60.242126,-87.400000,35.998367,417.592075,20.435070,-207.794000,11964.848364,109.383949
1,24,60.242126,-87.400000,60.242126,-87.400000,40.225406,378.607523,19.457840,-186.742000,10833.459436,104.083906
1,25,60.242126,-87.400000,60.242126,-87.400000,42.756652,332.628834,18.238115,-174.358000,9687.917836,98.427221
1,26,60.242126,-87.400000,60.242126,-87.400000,39.374961,421.178297,20.522629,-192.142000,11956.657036,109.346500
1,27,60.242126,-87.400000,60.242126,-87.400000,42.841036,377.730209,19.435283,-173.848000,10386.945696,101.916366
1,28,57.965377,-97.400000,60.242126,-87.400000,41.933292,449.182448,21.193925,-180.094000,12975.390764,113.909573
1,29,57.965377,-97.400000,60.242126,-87.400000,42.218682,507.804958,22.534528,-177.848000,14045.972096,118.515704
1,30,58.019371,-97.400000,60.242126,-87.400000,46.930332,371.217329,19.267001,-154.266000,10479.495244,102.369406
2,1,48.269201,-160.000000,48.269201,-160.000000,7.610719,110.390912,10.506708,-361.532000,3730.183376,61.075227
2,2,53.498136,-117.400000,53.498136,-117.400000,15.828037,223.640042,14.954599,-310.976000,7207.580224,84.897469
2,3,53.498136,-117.400000,53.498136,-117.400000,21.216703,242.471699,15.571503,-279.498000,8142.772396,90.237312
2,4,53.498136,-117.400000,53.498136,-117.400000,27.332948,207.828689,14.416265,-244.602000,6252.974796,79.075754
2,5,57.699976,-97.400000,57.699976,-97.400000,25.188399,328.907829,18.135816,-258.766000,9924.156844,99.620062
2,6,57.897348,-97.400000,57.897348,-97.400000,28.200283,339.136978,18.415672,-245.284000,10002.910544,100.014552
2,7,62.351861,-77.400000,62.351861,-77.400000,30.886096,293.062876,17.119079,-233.072000,8739.135616,93.483344
2,8,62.351861,-77.400000,62.351861,-77.400000,34.167575,277.770134,16.666437,-214.830000,7761.883500,88.101552
2,9,64.396880,-69.800000,64.396880,-69.800000,33.440040,374.814350,19.360123,-219.870000,10466.412300,102.305485
2,10,64.396880,-69.800000,64.396880,-69.800000,33.244927,336.820962,18.352683,-221.982000,10134.038476,100.667962
2,11,64.396880,-69.800000,64.396880,-69.800000,34.191009,398.593546,19.964808,-217.036000,10987.161904,104.819664
2,12,64.396880,-69.800000,64.396880,-69.800000,35.456912,402.434216,20.060763,-210.892000,11473.001136,107.112096
2,13,64.396880,-69.800000,64.396880,-69.800000,38.596698,434.303476,20.839949,-190.284000,12585.860944,112.186724
2,14,65.115846,-47.200000,65.115846,-47.200000,37.933660,480.880104,21.928979,-196.362000,13129.230156,114.582853
2,15,65.115846,-47.200000,65.115846,-47.200000,37.806511,435.305025,20.863965,-197.724000,12297.579024,110.894450
2,16,64.561822,-67.400000,65.115846,-47.200000,36.842020,510.450738,22.593157,-204.702000,14865.690796,121.924939
2,17,64.561822,-67.400000,65.115846,-47.200000,43.813910,336.318925,18.339000,-166.064000,9512.629504,97.532710
2,18,72.268901,0.800000,72.268901,0.800000,42.315811,386.929782,19.670531,-173.454000,11475.746284,107.124910
2,19,72.221629,1.400000,72.268901,0.800000,42.283642,470.783721,21.697551,-177.218000,13199.847276,114.890588
2,20,72.221629,1.400000,72.268901,0.800000,34.805930,548.412814,23.418215,-213.106000,14788.215564,121.606807
2,21,72.221629,1.400000,72.268901,0.800000,42.858138,552.450106,23.504257,-172.936000,15414.845504,124.156536
2,22,72.221629,1.400000,72.268901,0.800000,45.189699,528.648880,22.992366,-163.228000,14780.740016,121.576067
2,23,66.736371,-57.400000,72.268901,0.800000,38.654203,503.397573,22.436523,-195.858000,13716.857036,117.118987
2,24,64.560788,-67.400000,72.268901,0.800000,39.672445,533.277948,23.092812,-192.948000,14729.626096,121.365671
2,25,64.560788,-67.400000,72.268901,0.800000,42.855787,444.755289,21.089222,-175.778000,12239.804716,110.633651
2,26,66.715321,-57.400000,72.268901,0.800000,41.956720,507.804651,22.534521,-180.104000,13375.625984,115.653041
